method,referee,weightclass,winner,f1,f2,f1_slmp,f2_slmp,f1_str_acc_%,f2_str_acc_%,f1_sapm,f2_sapm,f1_str_def_%,f2_str_def_%,f1_td_avg,f2_td_avg,f1_td_acc_%,f2_td_acc_%,f1_td_def_%,f2_td_def_%,f1_sub_avg,f2_sub_avg,f1_height,f2_height,f1_weight,f2_weight,f1_reach,f2_reach,f1_stance,f2_stance
Submission,Keith Peterson,lightweight,f1,Grant Dawson,Jared Gordon,3.81,5.43,48.65,64.71,5.43,3.81,35.29,51.35,7.4,0.0,41,0,100,59,0.14,0.0,177.8,175.26,70.31,70.31,182.88,172.72,Switch,Orthodox
Decision - Unanimous,Jason Herzog,featherweight,f1,Darren Elkins,Tristan Connelly,5.0,4.4,49.67,56.41,4.4,5.0,43.59,50.33,5.0,0.0,50,0,100,50,0.07,0.0,177.8,177.8,65.77,65.77,180.34,172.72,Orthodox,Orthodox
Decision - Unanimous,Herb Dean,middleweight,f1,Krzysztof Jotko,Gerald Meerschaert,4.33,2.47,52.42,40.66,2.47,4.33,59.34,47.58,4.0,1.0,100,25,75,0,0.0,0.0,185.42,185.42,83.91,83.91,195.58,195.58,Southpaw,Southpaw
Submission,Mark Smith,heavyweight,f1,Alexandr Romanov,Chase Sherman,3.66,0.0,57.14,0,0.0,3.66,0,42.86,20.61,0.0,100,0,100,0,0.46,0.0,187.96,193.04,118.84,113.4,190.5,198.12,Southpaw,Orthodox
Submission,Keith Peterson,flyweight,f1,Francisco Figueiredo,Daniel Lacerda,3.85,3.08,100.0,66.67,3.08,3.85,33.33,0.0,0.0,11.54,0,100,0,100,0.77,0.0,167.64,167.64,56.7,56.7,172.72,177.8,Southpaw,Switch
KO/TKO,Herb Dean,welterweight,f1,Gabe Green,Yohan Lainesse,5.31,4.54,39.02,51.25,4.54,5.31,48.75,60.98,0.0,3.32,0,50,50,100,0.0,0.11,177.8,185.42,70.31,77.11,185.42,193.04,Switch,Orthodox
Decision - Unanimous,Mark Smith,lightweight,f1,Natan Levy,Mike Breeden,6.13,6.93,65.25,49.52,6.93,6.13,50.48,34.75,9.0,3.0,56,75,25,44,0.0,0.0,175.26,177.8,70.31,70.31,180.34,177.8,Southpaw,Orthodox
KO/TKO,Jason Herzog,flyweight,f1,Shanna Young,Gina Mazany,5.99,5.87,48.04,55.81,5.87,5.99,44.19,51.96,0.0,1.83,0,20,80,100,0.0,0.0,170.18,167.64,56.7,56.7,165.1,172.72,Orthodox,Southpaw
Submission,Keith Peterson,strawweight,f1,Jessica Andrade,Amanda Lemos,0.93,2.18,33.33,41.18,2.18,0.93,58.82,66.67,0.0,0.0,0,0,100,100,0.31,0.0,154.94,162.56,52.16,52.16,157.48,165.1,Orthodox,Southpaw
Submission,Herb Dean,lightweight,f1,Claudio Puelles,Clay Guida,0.33,0.99,33.33,75.0,0.99,0.33,25.0,66.67,0.0,0.0,0,0,100,100,0.66,0.0,177.8,170.18,70.31,70.31,182.88,177.8,Southpaw,Orthodox
Decision - Unanimous,Chris Tognoni,flyweight,f1,Maycee Barber,Montana De La Rosa,3.33,0.93,79.37,50.0,0.93,3.33,50.0,20.63,1.0,1.0,25,50,50,75,0.0,0.0,165.1,170.18,56.7,56.7,165.1,172.72,Switch,Orthodox
Submission,Keith Peterson,featherweight,f1,Charles Jourdain,Lando Vannata,1.58,3.16,57.14,57.14,3.16,1.58,42.86,42.86,0.0,5.92,0,100,0,100,0.39,0.0,175.26,175.26,65.77,70.31,175.26,180.34,Switch,Orthodox
KO/TKO,Chris Tognoni,welterweight,f1,Sergey Khandozhko,Dwight Grant,5.3,4.54,39.2,38.18,4.54,5.3,61.82,60.8,1.62,1.62,100,100,0,0,0.0,0.0,185.42,185.42,77.11,83.91,187.96,193.04,Orthodox,Switch
KO/TKO,Mark Smith,light heavyweight,f1,Tyson Pedro,Ike Villanueva,4.47,0.81,75.86,18.18,0.81,4.47,81.82,24.14,0.0,0.0,0,0,100,100,0.0,0.0,190.5,185.42,92.99,92.99,200.66,185.42,Orthodox,Orthodox
KO/TKO,Keith Peterson,bantamweight,f1,Aoriqileng,Cameron Else,13.21,2.14,57.81,50.0,2.14,13.21,50.0,42.19,5.36,0.0,100,0,100,0,0.0,0.0,170.18,175.26,61.23,61.23,175.26,180.34,Orthodox,Switch
Decision - Unanimous,Herb Dean,welterweight,f1,Preston Parsons,Evan Elder,5.0,1.8,66.96,45.0,1.8,5.0,55.0,33.04,4.0,0.0,66,0,100,34,0.33,0.0,180.34,177.8,77.11,70.31,180.34,182.88,Orthodox,Switch
Decision - Unanimous,Mark Smith,light heavyweight,f1,Philipe Lins,Marcin Prachnio,4.27,4.93,58.18,63.25,4.93,4.27,36.75,41.82,4.0,0.0,36,0,100,64,0.0,0.0,187.96,190.5,92.99,92.99,198.12,187.96,Orthodox,Orthodox
Decision - Unanimous,Herb Dean,welterweight,f1,Belal Muhammad,Vicente Luque,2.4,3.36,38.71,45.65,3.36,2.4,54.35,61.29,3.0,0.0,50,0,100,50,0.0,0.0,180.34,180.34,77.11,77.11,182.88,190.5,Orthodox,Orthodox
Decision - Unanimous,Dan Miragliotta,middleweight,f1,Caio Borralho,Gadzhi Omargadzhiev,2.22,0.86,63.27,31.58,0.86,2.22,68.42,36.73,1.08,1.08,100,50,50,0,0.0,0.0,185.42,185.42,83.91,77.11,190.5,180.34,Southpaw,Switch
KO/TKO,Mark Smith,welterweight,f1,Andre Fialho,Miguel Baeza,6.88,5.16,57.14,41.38,5.16,6.88,58.62,42.86,0.0,0.0,0,0,100,100,0.0,0.0,182.88,187.96,77.11,77.11,187.96,187.96,Orthodox,Orthodox
Decision - Unanimous,Chris Tognoni,bantamweight,f1,Mayra Bueno Silva,Wu Yanan,5.8,4.13,57.24,28.44,4.13,5.8,71.56,42.76,0.0,1.0,0,100,0,100,0.13,0.0,167.64,172.72,61.23,61.23,167.64,167.64,Orthodox,Orthodox
Decision - Unanimous,Herb Dean,featherweight,f1,Pat Sabatini,TJ Laramie,2.4,1.0,57.14,48.39,1.0,2.4,51.61,42.86,6.0,1.0,60,25,75,40,0.0,0.0,172.72,167.64,65.77,65.77,177.8,167.64,Orthodox,Orthodox
Decision - Unanimous,Mark Smith,welterweight,f1,Mounir Lazzez,Ange Loosa,9.4,5.87,54.23,41.31,5.87,9.4,58.69,45.77,0.0,0.0,0,0,100,100,0.0,0.0,185.42,177.8,77.11,77.11,193.04,187.96,Orthodox,Orthodox
KO/TKO,Dan Miragliotta,heavyweight,f1,Devin Clark,William Knight,2.55,1.57,72.34,51.22,1.57,2.55,48.78,27.66,2.25,1.12,40,100,0,60,0.0,0.15,182.88,177.8,92.99,92.99,190.5,185.42,Orthodox,Orthodox
Decision - Unanimous,Chris Tognoni,bantamweight,f1,Pannie Kianzad,Lina Lansberg,5.2,2.6,48.75,44.32,2.6,5.2,55.68,51.25,1.0,0.0,100,0,100,0,0.0,0.0,170.18,170.18,61.23,61.23,167.64,165.1,Orthodox,Orthodox
KO/TKO,Herb Dean,lightweight,f1,Drakkar Klose,Brandon Jenkins,13.69,3.24,70.37,47.37,3.24,13.69,52.63,29.63,5.41,0.0,66,0,100,34,0.0,0.0,175.26,182.88,70.31,70.31,177.8,180.34,Orthodox,Switch
Submission,Mark Smith,lightweight,f1,Rafa Garcia,Jesse Ronson,3.56,2.54,43.75,40.98,2.54,3.56,59.02,56.25,4.58,0.0,75,0,100,25,0.1,0.0,170.18,177.8,70.31,70.31,177.8,177.8,Orthodox,Southpaw
Decision - Unanimous,Dan Miragliotta,heavyweight,f1,Martin Buday,Chris Barnett,4.81,1.98,67.47,44.23,1.98,4.81,55.77,32.53,0.0,0.0,0,0,100,100,0.0,0.0,193.04,175.26,120.2,120.2,195.58,190.5,Orthodox,Orthodox
Decision - Split,Chris Tognoni,lightweight,f1,Jordan Leavitt,Trey Ogden,4.6,2.73,65.71,45.56,2.73,4.6,54.44,34.29,0.0,1.0,0,25,75,100,0.0,0.13,175.26,180.34,70.31,70.31,180.34,182.88,Southpaw,Orthodox
Decision - Split,Mark Smith,strawweight,f1,Sam Hughes,Istela Nunes,5.07,5.93,41.76,39.04,5.93,5.07,60.96,58.24,2.0,0.0,40,0,100,60,0.0,0.0,165.1,162.56,52.16,52.16,162.56,167.64,Orthodox,Orthodox
KO/TKO,Chris Tognoni,bantamweight,f1,Alatengheili,Kevin Croom,11.49,2.55,52.94,16.67,2.55,11.49,83.33,47.06,0.0,0.0,0,0,100,100,0.0,0.0,165.1,180.34,61.23,61.23,167.64,185.42,Orthodox,Orthodox
KO/TKO,Herb Dean,featherweight,f1,Alexander Volkanovski,Chan Sung Jung,8.76,3.05,64.79,38.4,3.05,8.76,61.6,35.21,3.81,0.0,50,0,100,50,0.0,0.0,167.64,170.18,65.77,65.77,180.34,182.88,Orthodox,Orthodox
Decision - Split,Keith Peterson,bantamweight,f1,Aljamain Sterling,Petr Yan,2.48,2.52,56.36,61.17,2.52,2.48,38.83,43.64,1.2,0.0,9,0,100,91,0.0,0.0,170.18,170.18,65.77,61.23,180.34,170.18,Orthodox,Switch
Decision - Unanimous,Mike Beltran,welterweight,f1,Khamzat Chimaev,Gilbert Burns,7.2,7.93,48.43,59.5,7.93,7.2,40.5,51.57,2.0,0.0,66,0,100,34,0.0,0.0,187.96,177.8,83.91,77.11,190.5,180.34,Orthodox,Orthodox
Decision - Split,Keith Peterson,strawweight,f1,Mackenzie Dern,Tecia Pennington,3.33,5.07,32.05,61.29,5.07,3.33,38.71,67.95,0.0,0.0,0,0,100,100,0.2,0.0,162.56,154.94,52.16,52.16,160.02,152.4,Orthodox,Orthodox
Decision - Unanimous,Larry Folsom,lightweight,f1,Mark Madsen,Vinc Pichel,2.6,4.53,44.83,55.28,4.53,2.6,44.72,55.17,3.0,1.0,100,50,50,0,0.0,0.0,172.72,177.8,70.31,70.31,182.88,182.88,Orthodox,Orthodox
Decision - Unanimous,Herb Dean,welterweight,f1,Ian Machado Garry,Darian Weeks,4.93,2.67,51.39,51.95,2.67,4.93,48.05,48.61,0.0,1.0,0,33,67,100,0.0,0.0,190.5,180.34,77.11,77.11,187.96,182.88,Orthodox,Orthodox
Decision - Unanimous,Herb Dean,middleweight,f1,Anthony Hernandez,Josh Fremd,3.2,2.07,67.61,57.41,2.07,3.2,42.59,32.39,8.0,1.0,72,100,0,28,0.2,0.07,182.88,193.04,83.91,83.91,190.5,193.04,Orthodox,Orthodox
Decision - Unanimous,Keith Peterson,bantamweight,f1,Raquel Pennington,Aspen Ladd,7.6,4.33,58.46,40.62,4.33,7.6,59.38,41.54,0.0,2.0,0,50,50,100,0.0,0.0,170.18,167.64,61.23,61.23,170.18,167.64,Orthodox,Orthodox
KO/TKO,Larry Folsom,welterweight,f1,Mike Malott,Mickey Gall,7.6,3.53,63.64,43.33,3.53,7.6,56.67,36.36,0.0,4.07,0,100,0,100,0.0,0.0,185.42,187.96,77.11,77.11,185.42,187.96,Orthodox,Switch
Submission,Mike Beltran,heavyweight,f1,Aleksei Oleinik,Jared Vanderaa,2.19,4.11,36.36,37.5,4.11,2.19,62.5,63.64,0.0,0.0,0,0,100,100,0.27,0.0,187.96,193.04,108.86,120.2,203.2,203.2,Orthodox,Orthodox
Decision - Unanimous,Keith Peterson,strawweight,f1,Piera Rodriguez,Kay Hansen,3.33,2.07,56.82,40.26,2.07,3.33,59.74,43.18,3.0,2.0,75,25,75,25,0.0,0.0,160.02,157.48,52.16,52.16,160.02,160.02,Orthodox,Orthodox
Decision - Unanimous,Larry Folsom,bantamweight,f1,Julio Arce,Daniel Santos,8.47,3.27,47.92,21.4,3.27,8.47,78.6,52.08,0.0,0.0,0,0,100,100,0.0,0.0,170.18,170.18,65.77,61.23,177.8,170.18,Southpaw,Orthodox
KO/TKO,Herb Dean,heavyweight,f1,Curtis Blaydes,Chris Daukaus,5.68,2.46,47.62,34.21,2.46,5.68,65.79,52.38,0.0,0.0,0,0,100,100,0.0,0.0,193.04,190.5,120.2,92.99,203.2,193.04,Orthodox,Orthodox
Submission,Gary Copeland,flyweight,f1,Alexa Grasso,Joanne Wood,4.05,8.61,57.14,69.39,8.61,4.05,30.61,42.86,7.59,0.0,100,0,100,0,0.25,0.0,165.1,167.64,56.7,56.7,167.64,165.1,Orthodox,Orthodox
Decision - Split,Keith Peterson,welterweight,f1,Bryan Barberena,Matt Brown,7.4,5.4,52.61,62.79,5.4,7.4,37.21,47.39,0.0,5.0,0,71,29,100,0.0,0.0,182.88,182.88,83.91,77.11,182.88,190.5,Southpaw,Orthodox
Decision - Unanimous,Chad Trukovich,flyweight,f1,Kai Kara-France,Askar Askarov,3.4,1.8,39.23,45.0,1.8,3.4,55.0,60.77,0.0,2.0,0,14,86,100,0.0,0.13,162.56,167.64,56.7,56.7,175.26,170.18,Orthodox,Orthodox
Decision - Split,Keith Peterson,welterweight,f1,Neil Magny,Max Griffin,3.6,4.47,37.5,54.47,4.47,3.6,45.53,62.5,1.0,0.0,11,0,100,89,0.0,0.0,190.5,180.34,77.11,77.11,203.2,193.04,Orthodox,Orthodox
Decision - Unanimous,Gary Copeland,lightweight,f1,Marc Diakiese,Viacheslav Borshchev,1.13,0.8,85.0,57.14,0.8,1.13,42.86,15.0,11.0,0.0,61,0,100,39,0.0,0.0,177.8,180.34,70.31,70.31,185.42,175.26,Orthodox,Orthodox
Decision - Unanimous,Chad Trukovich,bantamweight,f1,Sara McMann,Karol Rosa,1.6,1.73,58.54,60.47,1.73,1.6,39.53,41.46,4.0,1.0,66,50,50,34,0.0,0.0,167.64,165.1,61.23,61.23,167.64,170.18,Orthodox,Orthodox
KO/TKO,Herb Dean,bantamweight,f1,Chris Gutierrez,Batgerel Danaa,5.42,3.96,51.9,28.85,3.96,5.42,71.15,48.1,0.0,1.98,0,100,0,100,0.0,0.0,175.26,170.18,61.23,61.23,170.18,177.8,Orthodox,Orthodox
Submission,Gary Copeland,middleweight,f1,Aliaskhab Khizriev,Denis Tiuliulin,6.03,4.45,62.69,37.8,4.45,6.03,62.2,37.31,4.31,0.0,66,0,100,34,0.14,0.0,175.26,185.42,83.91,83.91,187.96,195.58,Southpaw,Orthodox
Decision - Unanimous,Herb Dean,flyweight,f1,Manon Fiorot,Jennifer Maia,5.53,2.47,60.14,30.58,2.47,5.53,69.42,39.86,2.0,1.0,50,25,75,50,0.0,0.0,170.18,162.56,56.7,56.7,165.1,162.56,Orthodox,Orthodox
Decision - Unanimous,Chad Trukovich,flyweight,f1,Matheus Nicolau,David Dvorak,2.4,2.6,44.44,35.45,2.6,2.4,64.55,55.56,0.0,0.0,0,0,100,100,0.0,0.0,167.64,165.1,56.7,56.7,167.64,172.72,Orthodox,Orthodox
Decision - Unanimous,Keith Peterson,featherweight,f1,Luis Saldana,Bruno Souza,5.6,4.4,50.0,37.08,4.4,5.6,62.92,50.0,2.0,1.0,40,50,50,60,0.0,0.0,180.34,177.8,65.77,65.77,185.42,177.8,Orthodox,Orthodox
Submission,Marc Goddard,heavyweight,f1,Tom Aspinall,Alexander Volkov,7.73,3.47,67.44,56.52,3.47,7.73,43.48,32.56,8.0,0.0,100,0,100,0,0.27,0.0,195.58,200.66,116.12,113.4,198.12,203.2,Orthodox,Orthodox
KO/TKO,Daniel Movahedi,featherweight,f1,Arnold Allen,Dan Hooker,19.22,5.49,58.33,28.57,5.49,19.22,71.43,41.67,0.0,0.0,0,0,100,100,0.0,0.0,172.72,182.88,65.77,70.31,177.8,190.5,Southpaw,Switch
Submission,Lukasz Bosacki,lightweight,f1,Paddy Pimblett,Kazula Vargas,0.79,1.83,50.0,77.78,1.83,0.79,22.22,50.0,3.93,0.0,50,0,100,50,0.26,0.0,177.8,172.72,70.31,70.31,185.42,180.34,Orthodox,Southpaw
Decision - Unanimous,Rich Mitchell,welterweight,f1,Gunnar Nelson,Takashi Sato,2.93,0.6,80.0,39.13,0.6,2.93,60.87,20.0,3.0,0.0,100,0,100,0,0.07,0.0,180.34,177.8,77.11,77.11,182.88,185.42,Switch,Southpaw
KO/TKO,Daniel Movahedi,flyweight,f1,Molly McCann,Luana Carolina,7.16,5.39,53.46,48.48,5.39,7.16,51.52,46.54,2.53,0.0,100,0,100,0,0.0,0.0,162.56,167.64,52.16,56.7,157.48,175.26,Orthodox,Orthodox
KO/TKO,Marc Goddard,lightweight,f1,Ilia Topuria,Jai Herbert,3.27,3.6,48.78,34.92,3.6,3.27,65.08,51.22,2.45,0.0,25,0,100,75,0.0,0.0,170.18,185.42,65.77,70.31,175.26,195.58,Orthodox,Orthodox
Submission,Rich Mitchell,featherweight,f1,Makwan Amirkhani,Mike Grundy,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,15.79,0,100,0,100,1.05,0.0,177.8,170.18,65.77,65.77,182.88,182.88,Southpaw,Orthodox
KO/TKO,Daniel Movahedi,heavyweight,f1,Sergei Pavlovich,Shamil Abdurakhimov,5.19,4.2,44.68,50.0,4.2,5.19,50.0,55.32,0.0,0.0,0,0,100,100,0.0,0.0,190.5,190.5,116.57,106.59,213.36,193.04,Southpaw,Orthodox
Submission,Lukasz Bosacki,light heavyweight,f1,Paul Craig,Nikita Krylov,0.51,4.81,66.67,76.0,4.81,0.51,24.0,33.33,3.8,3.8,100,100,0,0,0.25,0.0,190.5,190.5,83.91,92.99,193.04,195.58,Orthodox,Orthodox
Decision - Unanimous,Marc Goddard,bantamweight,f1,Jack Shore,Timur Valiev,4.67,4.8,65.42,48.0,4.8,4.67,52.0,34.58,3.0,2.0,42,66,34,58,0.0,0.07,172.72,167.64,65.77,61.23,180.34,170.18,Orthodox,Orthodox
Decision - Split,Rich Mitchell,strawweight,f1,Elise Reed,Cory McKenna,5.07,4.0,54.29,37.5,4.0,5.07,62.5,45.71,0.0,3.0,0,42,58,100,0.0,0.0,160.02,160.02,52.16,52.16,160.02,147.32,Orthodox,Orthodox
Submission,Daniel Movahedi,flyweight,f1,Muhammad Mokaev,Cody Durden,2.07,1.03,40.0,20.0,1.03,2.07,80.0,60.0,0.0,15.52,0,100,0,100,1.03,0.0,170.18,170.18,56.7,56.7,177.8,170.18,Orthodox,Southpaw
Decision - Unanimous,Mark Smith,light heavyweight,f1,Magomed Ankalaev,Thiago Santos,3.12,2.4,50.32,43.48,2.4,3.12,56.52,49.68,0.6,0.0,50,0,100,50,0.0,0.0,190.5,187.96,92.99,92.99,190.5,193.04,Orthodox,Orthodox
KO/TKO,Keith Peterson,bantamweight,f1,Song Yadong,Marlon Moraes,6.67,4.29,40.0,36.0,4.29,6.67,64.0,60.0,0.0,0.0,0,0,100,100,0.0,0.0,172.72,167.64,61.23,61.23,170.18,170.18,Orthodox,Orthodox
Decision - Unanimous,Chris Tognoni,featherweight,f1,Sodiq Yusuff,Alex Caceres,4.27,4.4,52.03,47.83,4.4,4.27,52.17,47.97,1.0,1.0,33,33,67,67,0.0,0.0,175.26,177.8,65.77,65.77,180.34,185.42,Orthodox,Southpaw
KO/TKO,Herb Dean,light heavyweight,f1,Khalil Rountree Jr.,Karl Roberson,4.8,3.14,37.68,60.71,3.14,4.8,39.29,62.32,0.0,0.0,0,0,100,100,0.0,0.0,185.42,185.42,92.99,92.99,193.04,187.96,Southpaw,Southpaw
KO/TKO,Keith Peterson,lightweight,f1,Drew Dober,Terrance McKinney,5.18,10.96,45.95,59.02,10.96,5.18,40.98,54.05,0.0,9.14,0,66,34,100,0.0,0.0,172.72,177.8,70.31,70.31,177.8,185.42,Southpaw,Switch
Decision - Unanimous,Mark Smith,middleweight,f1,Alex Pereira,Bruno Silva,7.2,3.93,60.34,40.14,3.93,7.2,59.86,39.66,0.0,2.0,0,25,75,100,0.0,0.0,193.04,162.56,92.99,56.7,200.66,165.1,Orthodox,Orthodox
Decision - Unanimous,Herb Dean,welterweight,f1,Matthew Semelsberger,AJ Fletcher,2.67,2.27,48.78,53.12,2.27,2.67,46.88,51.22,1.0,4.0,100,66,34,0,0.0,0.13,185.42,177.8,77.11,77.11,190.5,170.18,Switch,Switch
Decision - Unanimous,Chris Tognoni,flyweight,f1,JJ Aldrich,Gillian Robertson,4.0,3.47,50.85,37.41,3.47,4.0,62.59,49.15,0.0,1.0,0,16,84,100,0.0,0.0,165.1,165.1,56.7,52.16,170.18,160.02,Southpaw,Orthodox
Decision - Unanimous,Keith Peterson,bantamweight,f1,Javid Basharat,Trevin Jones,5.93,4.13,54.27,34.83,4.13,5.93,65.17,45.73,0.0,0.0,0,0,100,100,0.0,0.0,175.26,170.18,61.23,61.23,175.26,177.8,Orthodox,Southpaw
Submission,Chris Tognoni,featherweight,f1,Damon Jackson,Kamuela Kirk,3.3,2.27,41.03,40.74,2.27,3.3,59.26,58.97,3.09,0.0,66,0,100,34,0.1,0.0,180.34,177.8,65.77,70.31,180.34,190.5,Switch,Switch
Submission,Keith Peterson,flyweight,f1,Miranda Maverick,Sabina Mazo,2.62,2.07,38.0,31.25,2.07,2.62,68.75,62.0,8.28,0.0,57,0,100,43,0.14,0.0,160.02,170.18,56.7,56.7,165.1,177.8,Southpaw,Orthodox
Submission,Mark Smith,middleweight,f1,Cody Brundage,Dalcha Lungiambula,1.09,7.87,50.0,51.79,7.87,1.09,48.21,50.0,4.07,4.07,25,100,0,75,0.27,0.0,182.88,172.72,83.91,83.91,182.88,193.04,Orthodox,Orthodox
KO/TKO,Chris Tognoni,bantamweight,f1,Guido Cannetti,Kris Moutinho,13.23,5.2,63.64,36.67,5.2,13.23,63.33,36.36,0.0,0.0,0,0,100,100,0.0,0.0,167.64,170.18,61.23,61.23,172.72,172.72,Southpaw,Southpaw
KO/TKO,Herb Dean,light heavyweight,f1,Azamat Murzakanov,Tafon Nchukwi,2.61,4.01,40.58,43.88,4.01,2.61,56.12,59.42,1.4,0.0,20,0,100,80,0.0,0.0,177.8,182.88,92.99,83.91,180.34,195.58,Southpaw,Orthodox
Decision - Unanimous,Herb Dean,welterweight,f1,Colby Covington,Jorge Masvidal,3.76,2.68,46.77,47.86,2.68,3.76,52.14,53.23,3.6,0.0,40,0,100,60,0.04,0.0,180.34,180.34,77.11,77.11,182.88,187.96,Orthodox,Orthodox
Decision - Unanimous,Mark Smith,featherweight,f1,Bryce Mitchell,Edson Barboza,2.27,1.07,72.34,43.24,1.07,2.27,56.76,27.66,4.0,0.0,100,0,100,0,0.0,0.0,177.8,180.34,65.77,65.77,177.8,190.5,Southpaw,Orthodox
KO/TKO,Chris Tognoni,welterweight,f1,Kevin Holland,Alex Oliveira,8.88,3.73,65.79,47.73,3.73,8.88,52.27,34.21,0.0,5.33,0,66,34,100,0.0,0.18,190.5,180.34,83.91,77.11,205.74,193.04,Orthodox,Orthodox
KO/TKO,Marc Goddard,heavyweight,f1,Serghei Spivac,Greg Hardy,6.18,3.09,51.85,58.33,3.09,6.18,41.67,48.15,19.85,0.0,75,0,100,25,0.0,0.0,190.5,195.58,117.93,120.2,198.12,203.2,Orthodox,Orthodox
KO/TKO,Herb Dean,lightweight,f1,Jalin Turner,Jamie Mullarkey,9.02,6.07,46.85,59.32,6.07,9.02,40.68,53.15,2.6,2.6,100,33,67,0,0.0,0.0,190.5,182.88,70.31,70.31,195.58,187.96,Southpaw,Orthodox
Decision - Split,Chris Tognoni,strawweight,f1,Marina Rodriguez,Yan Xiaonan,4.8,3.73,36.0,42.42,3.73,4.8,57.58,64.0,0.0,2.0,0,50,50,100,0.0,0.0,167.64,165.1,52.16,52.16,165.1,160.02,Orthodox,Orthodox
Decision - Split,Mark Smith,light heavyweight,f1,Nicolae Negumereanu,Kennedy Nzechukwu,4.27,6.33,40.0,50.0,6.33,4.27,50.0,60.0,1.0,0.0,20,0,100,80,0.0,0.0,182.88,195.58,92.99,92.99,198.12,210.82,Orthodox,Southpaw
Submission,Herb Dean,flyweight,f1,Maryna Moroz,Mariya Agapova,3.31,1.89,66.67,59.26,1.89,3.31,40.74,33.33,3.55,0.0,40,0,100,60,0.36,0.0,170.18,167.64,56.7,56.7,170.18,172.72,Orthodox,Southpaw
Submission,Marc Goddard,featherweight,f1,Umar Nurmagomedov,Brian Kelleher,5.54,0.31,69.23,5.26,0.31,5.54,94.74,30.77,4.62,0.0,20,0,100,80,0.31,0.0,172.72,167.64,61.23,61.23,175.26,167.64,Orthodox,Switch
Decision - Unanimous,Chris Tognoni,flyweight,f1,Tim Elliott,Tagir Ulanbekov,5.27,6.0,44.13,48.39,6.0,5.27,51.61,55.87,3.0,2.0,33,20,80,67,0.0,0.07,170.18,170.18,56.7,56.7,167.64,177.8,Southpaw,Southpaw
Decision - Split,Marc Goddard,lightweight,f1,Ludovit Klein,Devonte Smith,4.0,3.53,63.16,54.08,3.53,4.0,45.92,36.84,0.0,0.0,0,0,100,100,0.0,0.0,170.18,175.26,70.31,70.31,182.88,193.04,Southpaw,Orthodox
Decision - Unanimous,Mark Smith,light heavyweight,f1,Dustin Jacoby,Michal Oleksiejczuk,5.93,4.6,36.63,39.88,4.6,5.93,60.12,63.37,1.0,1.0,50,50,50,50,0.0,0.0,190.5,182.88,92.99,83.91,193.04,187.96,Orthodox,Southpaw
Submission,Mark Smith,middleweight,f1,Wellington Turman,Misha Cirkunov,2.31,4.63,78.95,68.18,4.63,2.31,31.82,21.05,0.0,2.31,0,33,67,100,0.31,0.15,182.88,190.5,77.11,92.99,182.88,195.58,Orthodox,Orthodox
Decision - Unanimous,Keith Peterson,flyweight,f1,Priscila Cachoeira,Ji Yeon Kim,6.8,11.33,46.79,45.33,11.33,6.8,54.67,53.21,1.0,0.0,100,0,100,0,0.0,0.0,170.18,170.18,56.7,56.7,165.1,182.88,Orthodox,Orthodox
KO/TKO,Chris Tognoni,lightweight,f1,Arman Tsarukyan,Joel Alvarez,5.18,1.01,67.92,70.0,1.01,5.18,30.0,32.08,4.32,0.0,100,0,100,0,0.0,0.0,170.18,190.5,70.31,70.31,182.88,195.58,Orthodox,Orthodox
Decision - Split,Jason Herzog,middleweight,f1,Armen Petrosyan,Gregory Rodrigues,8.47,4.07,54.98,45.86,4.07,8.47,54.14,45.02,0.0,2.0,0,66,34,100,0.0,0.13,190.5,190.5,83.91,83.91,180.34,190.5,Orthodox,Orthodox
Submission,Keith Peterson,lightweight,f1,Ignacio Bahamondes,Rongzhu,10.8,4.11,64.95,37.21,4.11,10.8,62.79,35.05,0.0,1.29,0,25,75,100,0.17,0.0,190.5,175.26,70.31,70.31,190.5,182.88,Orthodox,Orthodox
Decision - Unanimous,Mark Smith,featherweight,f1,Josiane Nunes,Ramona Pascual,6.53,3.47,44.14,52.0,3.47,6.53,48.0,55.86,0.0,3.0,0,30,70,100,0.0,0.0,157.48,170.18,61.23,61.23,170.18,167.64,Southpaw,Southpaw
Submission,Herb Dean,lightweight,f1,Terrance McKinney,Fares Ziam,1.37,0.46,75.0,100.0,0.46,1.37,0.0,25.0,0.0,0.0,0,0,100,100,0.46,0.0,177.8,185.42,70.31,70.31,185.42,190.5,Switch,Orthodox
Decision - Unanimous,Jason Herzog,featherweight,f1,Jonathan Martinez,Alejandro Perez,4.93,3.47,51.39,35.62,3.47,4.93,64.38,48.61,0.0,0.0,0,0,100,100,0.0,0.0,172.72,167.64,61.23,61.23,177.8,170.18,Southpaw,Orthodox
Submission,Mark Smith,welterweight,f1,Ramiz Brahimaj,Micheal Gillmore,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,7.38,0.0,100,0,100,0,1.48,0.0,177.8,180.34,77.11,77.11,182.88,182.88,Orthodox,Orthodox
Decision - Split,Chris Tognoni,flyweight,f1,Carlos Hernandez,Victor Altamirano,5.6,5.27,48.84,57.25,5.27,5.6,42.75,51.16,2.0,1.0,22,25,75,78,0.0,0.0,172.72,172.72,56.7,56.7,170.18,177.8,Orthodox,Switch
